Reg,Route,Start,End,BusName,Type,Seats,SeatType,MinFare,AddStopFare,Facilities,Stops,Departure,Arrival,TravelTime
TN31 AB 1001,R001,Chennai,Coimbatore,Southern Express,Ordinary,48,Seats,75,50,GPS,Chengalpattu -> Tindivanam -> Villupuram -> Ulundurpet -> Perambalur -> Trichy -> Karur -> Erode -> Tiruppur -> Avinashi,05:00,13:00,8h 00m
TN32 AB 1002,R001,Chennai,Coimbatore,Cauvery Cruiser,Express,54,Seats,80,55,"GPS, Charger",Chengalpattu -> Tindivanam -> Villupuram -> Ulundurpet -> Perambalur -> Trichy -> Karur -> Erode -> Tiruppur -> Avinashi,04:30,12:30,8h 00m
TN33 AB 1003,R001,Chennai,Coimbatore,Marina Star,Deluxe,36,Berth,85,60,GPS,Chengalpattu -> Tindivanam -> Villupuram -> Ulundurpet -> Perambalur -> Trichy -> Karur -> Erode -> Tiruppur -> Avinashi,06:00,17:00,11h 00m
TN34 AB 1004,R001,Chennai,Coimbatore,Western Voyager,Non-AC Seater,40,Seats,90,65,GPS,Chengalpattu -> Tindivanam -> Villupuram -> Ulundurpet -> Perambalur -> Trichy -> Karur -> Erode -> Tiruppur -> Avinashi,05:30,10:30,5h 00m
TN35 AB 1005,R001,Chennai,Coimbatore,Royal Transit,AC Sleeper,30,Berth,100,75,"GPS, Charger, Toilet, WiFi",Chengalpattu -> Tindivanam -> Villupuram -> Ulundurpet -> Perambalur -> Trichy -> Karur -> Erode -> Tiruppur -> Avinashi,06:00,10:30,4h 30m
TN36 AB 1006,R001,Chennai,Coimbatore,Blue Horizon,Ordinary,48,Seats,75,50,"GPS, Charger",Chengalpattu -> Tindivanam -> Villupuram -> Ulundurpet -> Perambalur -> Trichy -> Karur -> Erode -> Tiruppur -> Avinashi,05:00,13:00,8h 00m
TN37 AB 1007,R002,Chennai,Madurai,Emerald Coach,Express,54,Seats,80,55,GPS,Chengalpattu -> Melmaruvathur -> Tindivanam -> Villupuram -> Perambalur -> Trichy -> Viralimalai -> Dindigul -> Samayanallur -> Thirumangalam,04:30,12:30,8h 00m
TN38 AB 1008,R002,Chennai,Madurai,Skyline Express,Deluxe,36,Berth,85,60,"GPS, Charger",Chengalpattu -> Melmaruvathur -> Tindivanam -> Villupuram -> Perambalur -> Trichy -> Viralimalai -> Dindigul -> Samayanallur -> Thirumangalam,06:00,17:00,11h 00m
TN39 AB 1009,R002,Chennai,Madurai,Temple Runner,Non-AC Seater,40,Seats,90,65,"GPS, Charger",Chengalpattu -> Melmaruvathur -> Tindivanam -> Villupuram -> Perambalur -> Trichy -> Viralimalai -> Dindigul -> Samayanallur -> Thirumangalam,05:30,10:30,5h 00m
TN30 AB 1010,R002,Chennai,Madurai,Highway King,AC Sleeper,30,Berth,100,75,"GPS, Charger, Toilet, WiFi",Chengalpattu -> Melmaruvathur -> Tindivanam -> Villupuram -> Perambalur -> Trichy -> Viralimalai -> Dindigul -> Samayanallur -> Thirumangalam,06:00,10:30,4h 30m
TN31 AB 1011,R002,Chennai,Madurai,Lotus Travels,Ordinary,48,Seats,75,50,GPS,Chengalpattu -> Melmaruvathur -> Tindivanam -> Villupuram -> Perambalur -> Trichy -> Viralimalai -> Dindigul -> Samayanallur -> Thirumangalam,05:00,13:00,8h 00m
TN32 AB 1012,R002,Chennai,Madurai,Golden Arrow,Express,54,Seats,80,55,"GPS, Charger",Chengalpattu -> Melmaruvathur -> Tindivanam -> Villupuram -> Perambalur -> Trichy -> Viralimalai -> Dindigul -> Samayanallur -> Thirumangalam,04:30,12:30,8h 00m
TN33 AB 1013,R003,Coimbatore,Chennai,Velan Express,Deluxe,36,Berth,85,60,GPS,Avinashi -> Tiruppur -> Erode -> Sankagiri -> Salem -> Attur -> Ulundurpet -> Villupuram -> Tindivanam -> Chengalpattu,06:00,17:00,11h 00m
TN34 AB 1014,R003,Coimbatore,Chennai,Pearl Cruiser,Non-AC Seater,40,Seats,90,65,GPS,Avinashi -> Tiruppur -> Erode -> Sankagiri -> Salem -> Attur -> Ulundurpet -> Villupuram -> Tindivanam -> Chengalpattu,05:30,10:30,5h 00m
TN35 AB 1015,R003,Coimbatore,Chennai,Sunrise Coach,AC Sleeper,30,Berth,100,75,"GPS, Charger, Toilet, WiFi",Avinashi -> Tiruppur -> Erode -> Sankagiri -> Salem -> Attur -> Ulundurpet -> Villupuram -> Tindivanam -> Chengalpattu,06:00,10:30,4h 30m
TN36 AB 1016,R003,Coimbatore,Chennai,Metro Link,Ordinary,48,Seats,75,50,GPS,Avinashi -> Tiruppur -> Erode -> Sankagiri -> Salem -> Attur -> Ulundurpet -> Villupuram -> Tindivanam -> Chengalpattu,05:00,13:00,8h 00m
TN37 AB 1017,R003,Coimbatore,Chennai,Green Route,Express,54,Seats,80,55,GPS,Avinashi -> Tiruppur -> Erode -> Sankagiri -> Salem -> Attur -> Ulundurpet -> Villupuram -> Tindivanam -> Chengalpattu,04:30,12:30,8h 00m
TN38 AB 1018,R003,Coimbatore,Chennai,Riverline,Deluxe,36,Berth,85,60,"GPS, Charger",Avinashi -> Tiruppur -> Erode -> Sankagiri -> Salem -> Attur -> Ulundurpet -> Villupuram -> Tindivanam -> Chengalpattu,06:00,17:00,11h 00m
TN39 AB 1019,R004,Trichy,Chennai,Heritage Express,Non-AC Seater,40,Seats,90,65,GPS,Samayapuram -> Perambalur -> Ulundurpet -> Villupuram -> Tindivanam -> Melmaruvathur -> Madurantakam -> Chengalpattu -> Tambaram -> Guindy,05:30,10:30,5h 00m
TN30 AB 1020,R004,Trichy,Chennai,Elite Transit,AC Sleeper,30,Berth,100,75,"GPS, Charger, Toilet, WiFi",Samayapuram -> Perambalur -> Ulundurpet -> Villupuram -> Tindivanam -> Melmaruvathur -> Madurantakam -> Chengalpattu -> Tambaram -> Guindy,06:00,10:30,4h 30m
TN31 AB 1021,R004,Trichy,Chennai,Southern Express,Ordinary,48,Seats,75,50,"GPS, Charger",Samayapuram -> Perambalur -> Ulundurpet -> Villupuram -> Tindivanam -> Melmaruvathur -> Madurantakam -> Chengalpattu -> Tambaram -> Guindy,05:00,13:00,8h 00m
TN32 AB 1022,R004,Trichy,Chennai,Cauvery Cruiser,Express,54,Seats,80,55,"GPS, Charger",Samayapuram -> Perambalur -> Ulundurpet -> Villupuram -> Tindivanam -> Melmaruvathur -> Madurantakam -> Chengalpattu -> Tambaram -> Guindy,04:30,12:30,8h 00m
TN33 AB 1023,R004,Trichy,Chennai,Marina Star,Deluxe,36,Berth,85,60,GPS,Samayapuram -> Perambalur -> Ulundurpet -> Villupuram -> Tindivanam -> Melmaruvathur -> Madurantakam -> Chengalpattu -> Tambaram -> Guindy,06:00,17:00,11h 00m
TN34 AB 1024,R004,Trichy,Chennai,Western Voyager,Non-AC Seater,40,Seats,90,65,"GPS, Charger",Samayapuram -> Perambalur -> Ulundurpet -> Villupuram -> Tindivanam -> Melmaruvathur -> Madurantakam -> Chengalpattu -> Tambaram -> Guindy,05:30,10:30,5h 00m
TN35 AB 1025,R005,Madurai,Chennai,Royal Transit,AC Sleeper,30,Berth,100,75,"GPS, Charger, Toilet, WiFi",Thirumangalam -> Samayanallur -> Dindigul -> Viralimalai -> Trichy -> Perambalur -> Villupuram -> Tindivanam -> Chengalpattu -> Tambaram,06:00,10:30,4h 30m
TN36 AB 1026,R005,Madurai,Chennai,Blue Horizon,Ordinary,48,Seats,75,50,GPS,Thirumangalam -> Samayanallur -> Dindigul -> Viralimalai -> Trichy -> Perambalur -> Villupuram -> Tindivanam -> Chengalpattu -> Tambaram,05:00,13:00,8h 00m
TN37 AB 1027,R005,Madurai,Chennai,Emerald Coach,Express,54,Seats,80,55,GPS,Thirumangalam -> Samayanallur -> Dindigul -> Viralimalai -> Trichy -> Perambalur -> Villupuram -> Tindivanam -> Chengalpattu -> Tambaram,04:30,12:30,8h 00m
TN38 AB 1028,R005,Madurai,Chennai,Skyline Express,Deluxe,36,Berth,85,60,"GPS, Charger",Thirumangalam -> Samayanallur -> Dindigul -> Viralimalai -> Trichy -> Perambalur -> Villupuram -> Tindivanam -> Chengalpattu -> Tambaram,06:00,17:00,11h 00m
TN39 AB 1029,R005,Madurai,Chennai,Temple Runner,Non-AC Seater,40,Seats,90,65,GPS,Thirumangalam -> Samayanallur -> Dindigul -> Viralimalai -> Trichy -> Perambalur -> Villupuram -> Tindivanam -> Chengalpattu -> Tambaram,05:30,10:30,5h 00m
TN30 AB 1030,R005,Madurai,Chennai,Highway King,AC Sleeper,30,Berth,100,75,"GPS, Charger, Toilet, WiFi",Thirumangalam -> Samayanallur -> Dindigul -> Viralimalai -> Trichy -> Perambalur -> Villupuram -> Tindivanam -> Chengalpattu -> Tambaram,06:00,10:30,4h 30m
TN31 AB 1031,R006,Chennai,Salem,Lotus Travels,Ordinary,48,Seats,75,50,GPS,Tambaram -> Chengalpattu -> Tindivanam -> Villupuram -> Ulundurpet -> Attur -> Vasudevanallur -> Salem New Bus Stand -> Five Roads -> Hasthampatti,05:00,13:00,8h 00m
TN32 AB 1032,R006,Chennai,Salem,Golden Arrow,Express,54,Seats,80,55,"GPS, Charger",Tambaram -> Chengalpattu -> Tindivanam -> Villupuram -> Ulundurpet -> Attur -> Vasudevanallur -> Salem New Bus Stand -> Five Roads -> Hasthampatti,04:30,12:30,8h 00m
TN33 AB 1033,R006,Chennai,Salem,Velan Express,Deluxe,36,Berth,85,60,GPS,Tambaram -> Chengalpattu -> Tindivanam -> Villupuram -> Ulundurpet -> Attur -> Vasudevanallur -> Salem New Bus Stand -> Five Roads -> Hasthampatti,06:00,17:00,11h 00m
TN34 AB 1034,R006,Chennai,Salem,Pearl Cruiser,Non-AC Seater,40,Seats,90,65,GPS,Tambaram -> Chengalpattu -> Tindivanam -> Villupuram -> Ulundurpet -> Attur -> Vasudevanallur -> Salem New Bus Stand -> Five Roads -> Hasthampatti,05:30,10:30,5h 00m
TN35 AB 1035,R006,Chennai,Salem,Sunrise Coach,AC Sleeper,30,Berth,100,75,"GPS, Charger, Toilet, WiFi",Tambaram -> Chengalpattu -> Tindivanam -> Villupuram -> Ulundurpet -> Attur -> Vasudevanallur -> Salem New Bus Stand -> Five Roads -> Hasthampatti,06:00,10:30,4h 30m
TN36 AB 1036,R006,Chennai,Salem,Metro Link,Ordinary,48,Seats,75,50,"GPS, Charger",Tambaram -> Chengalpattu -> Tindivanam -> Villupuram -> Ulundurpet -> Attur -> Vasudevanallur -> Salem New Bus Stand -> Five Roads -> Hasthampatti,05:00,13:00,8h 00m
TN37 AB 1037,R007,Salem,Coimbatore,Green Route,Express,54,Seats,80,55,GPS,Sankagiri -> Bhavani -> Erode -> Perundurai -> Chennimalai -> Kangeyam -> Tiruppur -> Avinashi -> Neelambur -> Gandhipuram,04:30,12:30,8h 00m
TN38 AB 1038,R007,Salem,Coimbatore,Riverline,Deluxe,36,Berth,85,60,"GPS, Charger",Sankagiri -> Bhavani -> Erode -> Perundurai -> Chennimalai -> Kangeyam -> Tiruppur -> Avinashi -> Neelambur -> Gandhipuram,06:00,17:00,11h 00m
TN39 AB 1039,R007,Salem,Coimbatore,Heritage Express,Non-AC Seater,40,Seats,90,65,"GPS, Charger",Sankagiri -> Bhavani -> Erode -> Perundurai -> Chennimalai -> Kangeyam -> Tiruppur -> Avinashi -> Neelambur -> Gandhipuram,05:30,10:30,5h 00m
TN30 AB 1040,R007,Salem,Coimbatore,Elite Transit,AC Sleeper,30,Berth,100,75,"GPS, Charger, Toilet, WiFi",Sankagiri -> Bhavani -> Erode -> Perundurai -> Chennimalai -> Kangeyam -> Tiruppur -> Avinashi -> Neelambur -> Gandhipuram,06:00,10:30,4h 30m
TN31 AB 1041,R007,Salem,Coimbatore,Southern Express,Ordinary,48,Seats,75,50,GPS,Sankagiri -> Bhavani -> Erode -> Perundurai -> Chennimalai -> Kangeyam -> Tiruppur -> Avinashi -> Neelambur -> Gandhipuram,05:00,13:00,8h 00m
TN32 AB 1042,R007,Salem,Coimbatore,Cauvery Cruiser,Express,54,Seats,80,55,"GPS, Charger",Sankagiri -> Bhavani -> Erode -> Perundurai -> Chennimalai -> Kangeyam -> Tiruppur -> Avinashi -> Neelambur -> Gandhipuram,04:30,12:30,8h 00m
TN33 AB 1043,R008,Chennai,Tirunelveli,Marina Star,Deluxe,36,Berth,85,60,GPS,Tambaram -> Chengalpattu -> Tindivanam -> Villupuram -> Trichy -> Dindigul -> Madurai -> Virudhunagar -> Kovilpatti -> Kayathar,06:00,17:00,11h 00m
TN34 AB 1044,R008,Chennai,Tirunelveli,Western Voyager,Non-AC Seater,40,Seats,90,65,GPS,Tambaram -> Chengalpattu -> Tindivanam -> Villupuram -> Trichy -> Dindigul -> Madurai -> Virudhunagar -> Kovilpatti -> Kayathar,05:30,10:30,5h 00m
TN35 AB 1045,R008,Chennai,Tirunelveli,Royal Transit,AC Sleeper,30,Berth,100,75,"GPS, Charger, Toilet, WiFi",Tambaram -> Chengalpattu -> Tindivanam -> Villupuram -> Trichy -> Dindigul -> Madurai -> Virudhunagar -> Kovilpatti -> Kayathar,06:00,10:30,4h 30m
TN36 AB 1046,R008,Chennai,Tirunelveli,Blue Horizon,Ordinary,48,Seats,75,50,GPS,Tambaram -> Chengalpattu -> Tindivanam -> Villupuram -> Trichy -> Dindigul -> Madurai -> Virudhunagar -> Kovilpatti -> Kayathar,05:00,13:00,8h 00m
TN37 AB 1047,R008,Chennai,Tirunelveli,Emerald Coach,Express,54,Seats,80,55,GPS,Tambaram -> Chengalpattu -> Tindivanam -> Villupuram -> Trichy -> Dindigul -> Madurai -> Virudhunagar -> Kovilpatti -> Kayathar,04:30,12:30,8h 00m
TN38 AB 1048,R008,Chennai,Tirunelveli,Skyline Express,Deluxe,36,Berth,85,60,"GPS, Charger",Tambaram -> Chengalpattu -> Tindivanam -> Villupuram -> Trichy -> Dindigul -> Madurai -> Virudhunagar -> Kovilpatti -> Kayathar,06:00,17:00,11h 00m
