Reg,Route,Start,End,BusName,Type,Seats,SeatType,MinFare,AddStopFare,Facilities,Stops,Departure,Arrival,TravelTime
TN40 ZX 2001,R101,Tiruppur,Thanjavur,Delta Runner,Ordinary,48,Seats,65,40,GPS,Palladam -> Dharapuram -> Karur -> Kulithalai -> Trichy -> Lalgudi -> Thiruvaiyaru,04:45,12:45,8h 00m
TN40 ZX 2002,R101,Tiruppur,Thanjavur,Crown Voyager,Express,54,Seats,75,45,"GPS, Charger",Palladam -> Dharapuram -> Karur -> Kulithalai -> Trichy -> Lalgudi -> Thiruvaiyaru,05:20,13:50,8h 30m
TN40 ZX 2003,R101,Tiruppur,Thanjavur,Southline Star,Deluxe,36,Berth,95,60,"GPS, WiFi",Palladam -> Dharapuram -> Karur -> Kulithalai -> Trichy -> Lalgudi -> Thiruvaiyaru,06:10,15:10,9h 00m
TN40 ZX 2004,R101,Tiruppur,Thanjavur,Silver Route,Non-AC Seater,40,Seats,85,55,"GPS, Charger, Water",Palladam -> Dharapuram -> Karur -> Kulithalai -> Trichy -> Lalgudi -> Thiruvaiyaru,21:30,05:30,8h 00m
TN40 ZX 2005,R101,Tiruppur,Thanjavur,Deccan Rider,AC Sleeper,30,Berth,120,75,"GPS, Charger, Toilet, WiFi",Palladam -> Dharapuram -> Karur -> Kulithalai -> Trichy -> Lalgudi -> Thiruvaiyaru,22:15,05:45,7h 30m
TN41 ZX 2006,R102,Erode,Kanyakumari,Delta Runner,Ordinary,48,Seats,70,45,GPS,Bhavani -> Perundurai -> Karur -> Dindigul -> Madurai -> Virudhunagar -> Tirunelveli -> Nagercoil,04:45,12:45,8h 00m
TN41 ZX 2007,R102,Erode,Kanyakumari,Crown Voyager,Express,54,Seats,80,50,"GPS, Charger",Bhavani -> Perundurai -> Karur -> Dindigul -> Madurai -> Virudhunagar -> Tirunelveli -> Nagercoil,05:20,13:50,8h 30m
TN41 ZX 2008,R102,Erode,Kanyakumari,Southline Star,Deluxe,36,Berth,100,65,"GPS, WiFi",Bhavani -> Perundurai -> Karur -> Dindigul -> Madurai -> Virudhunagar -> Tirunelveli -> Nagercoil,06:10,15:10,9h 00m
TN41 ZX 2009,R102,Erode,Kanyakumari,Silver Route,Non-AC Seater,40,Seats,90,60,"GPS, Charger, Water",Bhavani -> Perundurai -> Karur -> Dindigul -> Madurai -> Virudhunagar -> Tirunelveli -> Nagercoil,21:30,05:30,8h 00m
TN41 ZX 2010,R102,Erode,Kanyakumari,Deccan Rider,AC Sleeper,30,Berth,125,80,"GPS, Charger, Toilet, WiFi",Bhavani -> Perundurai -> Karur -> Dindigul -> Madurai -> Virudhunagar -> Tirunelveli -> Nagercoil,22:15,05:45,7h 30m
TN42 ZX 2011,R103,Hosur,Thanjavur,Delta Runner,Ordinary,48,Seats,75,50,GPS,Krishnagiri -> Dharmapuri -> Salem -> Namakkal -> Karur -> Trichy -> Thiruverumbur,04:45,12:45,8h 00m
TN42 ZX 2012,R103,Hosur,Thanjavur,Crown Voyager,Express,54,Seats,85,55,"GPS, Charger",Krishnagiri -> Dharmapuri -> Salem -> Namakkal -> Karur -> Trichy -> Thiruverumbur,05:20,13:50,8h 30m
TN42 ZX 2013,R103,Hosur,Thanjavur,Southline Star,Deluxe,36,Berth,105,70,"GPS, WiFi",Krishnagiri -> Dharmapuri -> Salem -> Namakkal -> Karur -> Trichy -> Thiruverumbur,06:10,15:10,9h 00m
TN42 ZX 2014,R103,Hosur,Thanjavur,Silver Route,Non-AC Seater,40,Seats,95,65,"GPS, Charger, Water",Krishnagiri -> Dharmapuri -> Salem -> Namakkal -> Karur -> Trichy -> Thiruverumbur,21:30,05:30,8h 00m
TN42 ZX 2015,R103,Hosur,Thanjavur,Deccan Rider,AC Sleeper,30,Berth,130,85,"GPS, Charger, Toilet, WiFi",Krishnagiri -> Dharmapuri -> Salem -> Namakkal -> Karur -> Trichy -> Thiruverumbur,22:15,05:45,7h 30m
TN43 ZX 2016,R104,Kanchipuram,Rameswaram,Delta Runner,Ordinary,48,Seats,80,40,GPS,Uthiramerur -> Melmaruvathur -> Tindivanam -> Villupuram -> Trichy -> Pudukottai -> Manamadurai -> Paramakudi,04:45,12:45,8h 00m
